Time,ModBitCount,CipherBitCount
87800,75,17
73100,80,9
73000,69,17
72400,71,26
72980,84,26
75200,65,17
83320,70,17
68760,67,17
76160,72,26
77400,72,34
71460,72,17
74620,73,9
74520,77,9
85400,68,17
72580,70,9
72320,67,9
70440,65,17
71420,77,26
76540,73,9
106060,70,26
76540,68,17
74620,75,17
74740,68,9
74360,73,9
72900,76,9
74760,71,17
91020,80,9
74060,80,26
71900,69,9
78020,78,34
71760,80,26
75260,80,17
88820,72,17
71100,77,9
73560,70,34
71640,81,26
74540,80,17
71820,81,17
88480,78,17
91460,72,17
91360,85,26
82900,83,34
71580,76,17
71600,72,34
72480,71,26
91920,78,9
76040,71,9
76900,79,26
74080,81,17
88040,76,26
86720,72,17
91220,71,9
75180,80,17
92460,76,34
72800,79,17
72940,77,17
76460,76,9
73220,86,9
102740,82,17
88540,81,17
73340,82,34
76020,73,17
74440,80,34
77760,71,17
95220,73,17
76840,79,17
91960,74,26
72100,75,9
73880,64,17
93720,65,26
72960,63,26
92420,74,17
77060,80,9
76300,86,9
95560,74,17
94860,64,17
77680,72,17
84720,70,17
138820,75,17
75440,86,17
84320,81,9
76480,78,26
77020,75,26
92560,85,26
74540,74,9
74220,77,17
82580,79,17
85860,65,17
115840,74,26
88740,77,9
101000,77,9
76100,73,17
76260,74,17
77520,77,17
81880,82,17
77680,76,26
88500,70,26
75420,83,9
91080,78,26
73180,69,26
77860,84,26
74680,78,17
91960,81,17
75540,83,9
75080,77,17
80280,72,17
78880,93,9
78540,76,17
75760,76,26
77880,76,9
78000,69,9
77800,74,17
77460,71,9
75200,77,9
77500,75,26
87880,76,26
75480,74,26
75600,89,34
86320,63,26
85340,83,34
95840,69,17
93760,75,34
81740,79,17
76100,79,26
76500,74,9
77220,77,17
76500,80,26
103160,72,39
96800,79,17
88320,83,9
78840,87,26
91180,81,17
81220,73,17
97080,75,26
75040,82,17
81160,78,17
81520,84,9
86220,85,26
80460,86,9
97260,81,26
80680,85,17
90940,71,17
76020,72,17
78980,89,17
75300,69,26
94400,78,26
89800,81,34
77960,76,17
82020,80,9
78160,70,26
85920,81,17
93040,78,17
78980,78,26
79300,89,9
75840,82,34
78660,82,17
87160,78,34
101740,73,26
77620,83,9
78500,84,9
78620,81,9
83500,74,17
79720,74,9
87900,85,17
77320,75,9
76380,73,26
78320,74,9
90540,71,34
81020,79,17
97780,68,9
96500,71,34
79740,79,26
78000,85,17
76280,84,26
78580,83,17
98020,88,9
102580,80,34
82680,84,17
79660,77,34
78460,83,9
80960,82,17
84000,82,26
81980,81,17
82140,84,17
79320,82,17
85440,75,17
79400,80,9
99020,69,17
78800,81,17
80160,73,17
79200,89,9
82220,71,17
77500,70,9
91380,85,34
82340,82,9
92100,76,17
101900,91,17
79540,86,9
77020,83,17
101100,76,17
82260,74,26
82320,82,9
86500,78,34
75860,73,17
83360,88,17
117520,83,17
80520,77,17
80060,93,17
91780,79,17
81580,78,26
87560,97,9
95880,73,17
83640,74,9
90720,77,26
91300,85,26
79240,76,17
79800,76,17
96940,72,34
81860,85,26
76980,72,34
